City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,san antonio de pale,-1.4014,5.6325,27.05,84,100,4.63,GQ,1712604878
84,shendi,16.6915,33.4341,27.49,9,66,4.35,SD,1712604959
85,severo-yeniseyskiy,60.3725,93.0408,-9.68,95,100,2.24,RU,1712604959
86,chonchi,-42.6128,-73.8092,13.95,70,91,2.57,CL,1712604699
87,margaret river,-33.95,115.0667,12.15,76,0,5.46,AU,1712604722
88,lima,-12.0432,-77.0282,25.14,65,0,5.66,PE,1712604767
89,dong ha,16.8163,107.1003,23.29,96,0,0.85,VN,1712604959
90,nar'yan-mar,67.6713,53.087,-18.83,100,78,2.24,RU,1712604665
91,newman,37.3138,-121.0208,18.35,47,0,6.71,US,1712604860
92,san pedro pochutla,15.7333,-96.4667,31.84,41,6,4.64,MX,1712604959
93,kiunga,-6.1219,141.2906,23.79,100,100,0.64,PG,1712604813
94,udachny,66.4167,112.4,-12.53,81,100,4.4,RU,1712604708
95,yerofey pavlovich,53.9667,121.9667,-10.16,95,100,1.03,RU,1712604920
96,karratha,-20.7377,116.8463,27.42,35,94,6.86,AU,1712604848
97,stanley,54.868,-1.6985,10.95,88,0,0.0,GB,1712604850
98,flying fish cove,-10.4217,105.6791,26.82,78,100,4.12,CX,1712604869
99,prince george,53.9166,-122.753,4.69,82,100,9.26,CA,1712604925
100,buala,-8.145,159.5921,27.34,84,73,2.37,SB,1712604960
101,paita,-5.0892,-81.1144,25.12,71,84,6.15,PE,1712604960
102,boda,4.3189,17.4695,25.44,60,8,1.83,CF,1712604960
103,labrador city,52.9463,-66.9114,-0.46,49,100,7.2,CA,1712604961
104,kozan,37.4552,35.8157,14.14,70,100,4.13,TR,1712604961
105,toliara,-23.35,43.6667,23.24,74,41,5.57,MG,1712604961
106,cabo san lucas,22.8909,-109.9124,25.34,68,75,2.24,MX,1712604936
107,chegdomyn,51.1167,133.0167,-10.75,97,100,0.89,RU,1712604961
108,sirte,31.2089,16.5887,18.19,78,0,5.95,LY,1712604961
109,gizo,-8.103,156.8419,27.7,80,98,4.34,SB,1712604961
110,okha,53.5739,142.9478,-8.19,98,53,2.24,RU,1712604962
111,mogocha,53.7333,119.7667,-5.02,57,100,1.0,RU,1712604962
112,tiksi,71.6872,128.8694,-9.75,83,100,9.69,RU,1712604688
113,sigli,5.3848,95.9609,27.29,76,49,1.76,ID,1712604962
114,namp'o,38.7375,125.4078,7.05,51,0,1.4,KP,1712604962
115,prince rupert,54.3161,-130.3201,5.83,93,100,13.38,CA,1712604962
116,matehuala,23.65,-100.65,32.75,8,3,10.85,MX,1712604851
117,ushtobe,45.2514,77.9838,16.93,33,100,4.47,KZ,1712604963
118,edd,13.9297,41.6925,27.78,87,81,5.09,ER,1712604963
119,tamanrasset,22.785,5.5228,26.95,11,0,2.06,DZ,1712604963
120,plouzane,48.3833,-4.6167,9.03,76,75,12.35,FR,1712604963
121,ribeira grande,38.5167,-28.7,17.22,100,75,3.58,PT,1712604680
122,vadso,70.0744,29.7487,-1.91,86,75,6.17,NO,1712604876
123,masallatah,32.6167,14.0,17.29,53,74,4.81,LY,1712604963
124,iskateley,67.6803,53.1512,-18.88,100,81,2.24,RU,1712604964
125,fonte boa,-2.4959,-66.2662,30.89,64,100,1.77,BR,1712604964
126,qaqortoq,60.7167,-46.0333,-2.05,96,100,3.03,GL,1712604964
127,floro,61.5996,5.0328,9.04,81,88,8.75,NO,1712604964
128,tadine,-21.55,167.8833,24.56,84,35,5.7,NC,1712604964
129,kourou,5.1552,-52.6478,31.03,65,63,3.18,GF,1712604964
